Seq2;ee=0.014;size=26387;	Unsorted_L38
Seq7774;ee=0.013;size=6;	Unsorted_P15
Seq7777;ee=0.019;size=6;	Unsorted_J30
Seq7779;ee=0.0059;size=6;	PD1-Avidin28_A
Seq7782;ee=0.017;size=6;	Unsorted_I23
Seq7835;ee=0.017;size=6;	Unsorted_F69
Seq7838;ee=0.015;size=6;	Unsorted_D5
Seq7842;ee=0.016;size=6;	CTLA-Avidin39_B
Seq7852;ee=0.015;size=6;	Unsorted_O6
Seq7862;ee=0.014;size=6;	Unsorted_D62
Seq7885;ee=0.015;size=6;	Unsorted_Q10
Seq7927;ee=0.017;size=6;	Unsorted_J44
Seq7916;ee=0.96;size=6;	Unsorted_L8
Seq7937;ee=0.062;size=6;	Unsorted_C14
Seq7951;ee=0.011;size=6;	Unsorted_H75
Seq7992;ee=0.015;size=6;	Unsorted_Q61
Seq8019;ee=0.018;size=6;	Unsorted_J13
Seq8038;ee=0.0064;size=6;	VEGF32_N
Seq8082;ee=0.016;size=6;	Unsorted_B5
Seq8088;ee=0.0062;size=6;	VEGF9_N
Seq8139;ee=0.0059;size=6;	CTLA-Avidin14_A
Seq8196;ee=0.0059;size=5;	Unsorted_A31
Seq8214;ee=0.015;size=5;	Unsorted_Q66
Seq8312;ee=0.0062;size=5;	Unsorted_N55
Seq8358;ee=0.017;size=5;	Unsorted_B63
Seq8371;ee=0.013;size=5;	Unsorted_L33
Seq8437;ee=0.015;size=5;	Unsorted_E65
Seq8450;ee=0.018;size=5;	Unsorted_F14
Seq8453;ee=0.015;size=5;	Unsorted_Q37
Seq8463;ee=0.017;size=5;	Unsorted_J69
Seq8481;ee=0.016;size=5;	Unsorted_B52
Seq8493;ee=0.012;size=5;	Unsorted_P7
Seq8506;ee=0.085;size=5;	Unsorted_M2
Seq8522;ee=0.019;size=5;	Unsorted_O64
Seq8520;ee=0.017;size=5;	Unsorted_J54
Seq8511;ee=0.0067;size=5;	PE29_N
Seq8574;ee=0.016;size=5;	Unsorted_E12
Seq8581;ee=0.03;size=5;	Unsorted_F42
Seq8582;ee=0.0062;size=5;	Unsorted_N42
Seq8601;ee=0.015;size=5;	Unsorted_Q73
Seq8616;ee=0.2;size=5;	Unsorted_I7
Seq8618;ee=0.14;size=5;	Unsorted_F24
Seq8654;ee=0.023;size=5;	Unsorted_C43
Seq8696;ee=0.018;size=5;	Unsorted_I59
Seq8789;ee=0.013;size=4;	Unsorted_L32
Seq8784;ee=0.014;size=4;	Unsorted_D44
Seq8878;ee=0.0062;size=4;	PE22_N
Seq8934;ee=0.014;size=4;	Unsorted_Q6
Seq8943;ee=0.02;size=4;	Unsorted_E29
Seq8961;ee=0.016;size=4;	Unsorted_B69
Seq8969;ee=0.0059;size=4;	GFP13_A
Seq8983;ee=0.0062;size=4;	Unsorted_N19
Seq8987;ee=0.016;size=4;	Unsorted_D49
Seq8994;ee=0.015;size=4;	Unsorted_Q30
Seq9016;ee=0.02;size=4;	Unsorted_G19
Seq9042;ee=0.023;size=4;	Unsorted_C35
Seq9113;ee=0.015;size=4;	Unsorted_E64
Seq9123;ee=0.016;size=4;	Unsorted_B73
Seq9139;ee=0.012;size=4;	Unsorted_P16
Seq9174;ee=0.017;size=4;	Unsorted_F53
Seq9193;ee=0.0062;size=4;	CTLA-Avidin44_N
Seq9218;ee=0.0062;size=4;	Unsorted_N4
Seq9233;ee=0.042;size=4;	Unsorted_I10
Seq9243;ee=0.015;size=4;	Unsorted_E6
Seq9276;ee=0.023;size=4;	Unsorted_C41
Seq9296;ee=0.012;size=4;	Unsorted_P57
Seq9299;ee=0.012;size=4;	Unsorted_P50
Seq9415;ee=0.017;size=3;	Unsorted_I22
Seq9418;ee=0.011;size=3;	Unsorted_H4
Seq9427;ee=0.095;size=3;	Unsorted_O70
Seq9440;ee=0.014;size=3;	Unsorted_O11
Seq9455;ee=0.017;size=3;	Unsorted_F10
Seq9463;ee=0.013;size=3;	Unsorted_L64
Seq9473;ee=0.0062;size=3;	Unsorted_N50
Seq9504;ee=0.017;size=3;	Unsorted_I70
Seq9534;ee=0.0059;size=3;	Unsorted_A30
Seq9574;ee=0.0062;size=3;	Unsorted_N5
Seq9590;ee=0.014;size=3;	Unsorted_D25
Seq9666;ee=0.013;size=3;	Unsorted_L55
Seq9678;ee=0.011;size=3;	Unsorted_H27
Seq9686;ee=0.014;size=3;	Unsorted_L68
Seq9689;ee=0.0059;size=3;	Unsorted_A46
Seq9691;ee=0.013;size=3;	Unsorted_M52
Seq9725;ee=0.014;size=3;	Unsorted_D42
Seq9754;ee=0.016;size=3;	Unsorted_B27
Seq9792;ee=0.012;size=3;	Unsorted_P42
Seq9793;ee=0.0059;size=3;	PD1-Avidin48_A
Seq9881;ee=0.0092;size=3;	Unsorted_M27
Seq9943;ee=0.011;size=3;	Unsorted_H64
Seq9955;ee=0.015;size=3;	Unsorted_Q52
Seq10005;ee=0.0059;size=3;	Unsorted_A56
Seq10015;ee=0.0062;size=3;	Luciferase26_N
Seq10037;ee=0.017;size=3;	Unsorted_F16
Seq10072;ee=0.0062;size=3;	Unsorted_N27
Seq10120;ee=0.013;size=3;	Unsorted_L62
Seq10130;ee=0.015;size=3;	Native_Q1
Seq10124;ee=0.046;size=3;	Unsorted_K70
Seq10169;ee=0.015;size=3;	Unsorted_E30
Seq10191;ee=0.025;size=3;	Unsorted_C39
Seq10204;ee=0.017;size=3;	Unsorted_F21
Seq10197;ee=0.016;size=3;	Unsorted_B9
Seq10238;ee=0.017;size=3;	Unsorted_J60
Seq10255;ee=0.017;size=3;	Unsorted_J7
Seq10325;ee=0.017;size=3;	Unsorted_I47
Seq10388;ee=0.011;size=3;	Unsorted_P56
Seq10410;ee=0.017;size=3;	Unsorted_F47
Seq10414;ee=0.012;size=3;	Unsorted_P45
Seq10471;ee=0.021;size=3;	Unsorted_G33
Seq10486;ee=0.042;size=3;	Unsorted_I6
Seq10496;ee=0.017;size=3;	Unsorted_I41
Seq10656;ee=0.015;size=2;	Unsorted_E43
Seq10690;ee=0.019;size=2;	Unsorted_J58
Seq10800;ee=0.018;size=2;	Unsorted_F45
Seq10880;ee=0.0062;size=2;	Unsorted_N14
Seq10900;ee=0.0059;size=2;	GFP50_A
Seq11010;ee=0.012;size=2;	Unsorted_P32
Seq11108;ee=0.014;size=2;	PE45_O
Seq11137;ee=0.04;size=2;	Native_D1
Seq11136;ee=0.014;size=2;	Unsorted_O27
Seq11174;ee=0.015;size=2;	Unsorted_D11
Seq11188;ee=0.017;size=2;	Unsorted_F20
Seq11210;ee=0.014;size=2;	Unsorted_D7
Seq11195;ee=0.012;size=2;	Unsorted_P64
Seq11271;ee=0.02;size=2;	Unsorted_G47
Seq11322;ee=0.017;size=2;	Unsorted_I51
Seq11384;ee=0.0062;size=2;	Unsorted_N39
Seq11433;ee=0.014;size=2;	Unsorted_O22
Seq11546;ee=0.18;size=2;	Unsorted_Q3
Seq11569;ee=0.016;size=2;	Unsorted_B8
Seq11671;ee=0.011;size=2;	Unsorted_H30
Seq11670;ee=0.023;size=2;	Unsorted_C51
Seq11682;ee=0.02;size=2;	Unsorted_F46
Seq11791;ee=0.014;size=2;	Unsorted_D65
Seq11955;ee=0.0059;size=2;	Unsorted_A60
Seq11984;ee=0.049;size=2;	Unsorted_B65
Seq11979;ee=0.015;size=2;	Unsorted_Q43
Seq11983;ee=0.022;size=2;	Unsorted_C32
Seq12000;ee=0.0062;size=2;	Unsorted_N8
Seq12036;ee=0.011;size=2;	Unsorted_H59
Seq12048;ee=0.018;size=2;	Unsorted_B64
Seq12106;ee=0.017;size=2;	Unsorted_F8
Seq12256;ee=0.017;size=2;	Unsorted_F41
Seq12253;ee=0.012;size=2;	Unsorted_P44
Seq12359;ee=0.0062;size=2;	Unsorted_N58
Seq12541;ee=0.015;size=2;	Unsorted_O52
Seq12581;ee=0.022;size=2;	Unsorted_C1
Seq12587;ee=0.46;size=2;	CTLA-Tris-Carb10_O
Seq12622;ee=0.015;size=2;	Unsorted_Q71
Seq12620;ee=0.017;size=2;	Unsorted_I9
Seq9462;ee=0.015;size=3;	Unsorted_E39
Seq12721;ee=0.017;size=2;	Unsorted_F25
Seq12748;ee=0.0062;size=2;	Unsorted_N70
Seq12751;ee=0.0059;size=2;	GFP35_A
Seq12803;ee=0.0062;size=2;	Unsorted_N46
Seq12804;ee=0.014;size=2;	Unsorted_D39
Seq12820;ee=0.016;size=2;	Unsorted_B30
Seq12919;ee=0.02;size=2;	Unsorted_J72
Seq12933;ee=0.014;size=2;	Unsorted_O57
Seq13028;ee=0.017;size=2;	Unsorted_B61
Seq13153;ee=0.014;size=2;	Unsorted_D67
Seq13164;ee=0.018;size=2;	Unsorted_F38
Seq13254;ee=0.017;size=2;	Unsorted_J53
Seq13360;ee=0.0062;size=2;	PD1-Avidin45_N
Seq13383;ee=0.015;size=2;	Unsorted_E59
Seq13416;ee=0.0068;size=2;	VEGF36_N
Seq13422;ee=0.022;size=2;	Unsorted_C50
Seq13487;ee=0.0059;size=2;	GFP29_A
Seq13624;ee=0.0062;size=2;	VEGF35_N
Seq13725;ee=0.015;size=2;	Unsorted_Q59
Seq13830;ee=0.012;size=1;	Unsorted_P46
Seq13935;ee=0.016;size=1;	Unsorted_B33
Seq14637;ee=0.015;size=1;	Unsorted_D74
Seq14692;ee=0.017;size=1;	Unsorted_B62
Seq14749;ee=0.017;size=1;	Unsorted_B17
Seq15594;ee=0.018;size=1;	Unsorted_I44
Seq15707;ee=0.016;size=1;	Unsorted_B21
Seq16824;ee=0.017;size=1;	Unsorted_I13
Seq17032;ee=0.0062;size=1;	VEGF50_N
Seq17849;ee=0.017;size=1;	Unsorted_J56
Seq17905;ee=0.098;size=1;	Unsorted_E9
Seq18214;ee=0.021;size=1;	Unsorted_F26
Seq18213;ee=0.015;size=1;	Unsorted_E63
Seq18497;ee=0.014;size=1;	Unsorted_E19
Seq18624;ee=0.015;size=1;	Unsorted_Q54
Seq19006;ee=0.018;size=1;	Unsorted_B19
Seq19281;ee=0.014;size=1;	Unsorted_O25
Seq20417;ee=0.014;size=1;	PE17_O
Seq20474;ee=0.018;size=1;	Unsorted_J57
Seq20550;ee=0.72;size=1;	Unsorted_C45
Seq20686;ee=0.016;size=1;	Unsorted_Q29
Seq21158;ee=0.023;size=1;	Unsorted_C42
Seq21286;ee=0.0062;size=1;	Unsorted_N36
Seq21700;ee=0.0062;size=1;	Unsorted_N48
Seq22028;ee=0.017;size=1;	Unsorted_J46
Seq22235;ee=0.025;size=1;	Unsorted_C64
Seq22446;ee=0.014;size=1;	CTLA-Tris-Carb13_O
Seq23000;ee=0.0062;size=1;	Unsorted_N13
Seq23185;ee=0.017;size=1;	Unsorted_K14
Seq23811;ee=0.014;size=1;	Unsorted_O60
Seq23866;ee=0.0062;size=1;	VEGF46_N
Seq24083;ee=0.019;size=1;	Unsorted_I56
Seq24213;ee=0.018;size=1;	Unsorted_K5
Seq24269;ee=0.0067;size=1;	Unsorted_N2
Seq24858;ee=0.015;size=1;	Unsorted_Q56
Seq24894;ee=0.018;size=1;	Unsorted_K25
Seq24961;ee=0.015;size=1;	Unsorted_Q75
Seq25007;ee=0.018;size=1;	Unsorted_K20
Seq25216;ee=0.015;size=1;	Unsorted_E74
Seq25338;ee=0.014;size=1;	Unsorted_D1
Seq25731;ee=0.0062;size=1;	VEGF13_N
Seq25969;ee=0.012;size=1;	Unsorted_P22
Seq26181;ee=0.0062;size=1;	PD1-Avidin34_N
Seq26414;ee=0.039;size=1;	Unsorted_E25
Seq26466;ee=0.011;size=1;	Unsorted_H68
Seq26629;ee=0.0059;size=1;	GFP24_A
Seq26768;ee=0.017;size=1;	Unsorted_I62
Seq27186;ee=0.017;size=1;	Unsorted_J9
Seq27392;ee=0.023;size=1;	Unsorted_C2
Seq27853;ee=0.015;size=1;	Unsorted_Q21
Seq28177;ee=0.0059;size=1;	Unsorted_A18
Seq28301;ee=0.019;size=1;	Unsorted_J38
Seq28681;ee=0.017;size=1;	Unsorted_F13
Seq28867;ee=0.023;size=1;	Unsorted_C66
Seq29048;ee=0.011;size=1;	Unsorted_H44
Seq29124;ee=0.017;size=1;	Unsorted_B14
Seq29332;ee=0.0062;size=1;	Luciferase3_N
Seq29546;ee=0.0082;size=1;	Native_M1
Seq29737;ee=0.0062;size=1;	VEGF37_N
Seq29961;ee=0.017;size=1;	Unsorted_F62
Seq30270;ee=0.0086;size=1;	Unsorted_M21
Seq30337;ee=0.016;size=1;	Unsorted_B51
Seq30478;ee=0.015;size=1;	Unsorted_O2
Seq30595;ee=0.014;size=1;	Unsorted_O43
Seq31573;ee=0.019;size=1;	Unsorted_I27
Seq32283;ee=0.015;size=1;	Unsorted_E42
Seq32413;ee=0.022;size=1;	Unsorted_C72
Seq33335;ee=0.017;size=1;	Unsorted_F63
Seq33388;ee=0.0062;size=1;	VEGF25_N
Seq34046;ee=0.013;size=1;	Unsorted_L69
Seq34709;ee=0.0062;size=1;	Unsorted_N69
Seq34783;ee=0.2;size=1;	Unsorted_D38
Seq35659;ee=0.011;size=1;	Unsorted_H21
Seq35961;ee=0.0062;size=1;	Luciferase40_N
Seq36037;ee=0.023;size=1;	Unsorted_C75
Seq36333;ee=0.0059;size=1;	Unsorted_A25
Seq36606;ee=0.015;size=1;	Unsorted_Q5
Seq37478;ee=0.059;size=1;	Unsorted_F74
Seq37936;ee=0.012;size=1;	Unsorted_P61
Seq38057;ee=0.014;size=1;	Unsorted_D3
Seq38251;ee=0.17;size=1;	Unsorted_L21
Seq38367;ee=0.0062;size=1;	VEGF18_N
Seq38560;ee=0.0062;size=1;	Unsorted_N35
Seq38940;ee=0.017;size=1;	Unsorted_F23
Seq38955;ee=0.0062;size=1;	VEGF45_N
Seq38961;ee=0.017;size=1;	Unsorted_F70
Seq39076;ee=0.017;size=1;	Unsorted_F6
Seq39206;ee=0.017;size=1;	Unsorted_F75
Seq39209;ee=0.015;size=1;	Unsorted_Q36
Seq39302;ee=0.0085;size=1;	Unsorted_M74
Seq39416;ee=0.02;size=1;	Unsorted_D16
Seq39502;ee=0.014;size=1;	Unsorted_O58
Seq39619;ee=0.0062;size=1;	CTLA-Avidin20_N
Seq40411;ee=0.014;size=1;	Unsorted_O44
Seq42447;ee=0.02;size=1;	Unsorted_G40
Seq42673;ee=0.018;size=1;	CTLA-Tris-Carb7_K
Seq42770;ee=0.011;size=1;	Unsorted_H60
Seq42832;ee=0.014;size=1;	PE43_O
Seq42961;ee=0.17;size=1;	Unsorted_G36
Seq43239;ee=0.026;size=1;	Unsorted_Q68
Seq43610;ee=0.092;size=1;	Unsorted_C65
Seq43865;ee=0.016;size=1;	Unsorted_B70
Seq44642;ee=0.018;size=1;	Unsorted_I18
Seq44903;ee=0.0062;size=1;	Unsorted_N32
Seq45331;ee=0.0062;size=1;	Luciferase38_N
Seq45577;ee=0.029;size=1;	Unsorted_C5
Seq45674;ee=0.0059;size=1;	GFP41_A
Seq45754;ee=0.014;size=1;	Unsorted_D60
Seq45993;ee=0.017;size=1;	Unsorted_I58
Seq45994;ee=0.064;size=1;	PD1-Avidin38_E
Seq46364;ee=0.026;size=1;	Unsorted_K19
Seq46410;ee=0.0086;size=1;	Unsorted_M44
Seq46802;ee=0.017;size=1;	Unsorted_I42
Seq47587;ee=0.015;size=1;	Unsorted_Q53
Seq44784;ee=0.017;size=1;	Unsorted_J55
Seq48290;ee=0.018;size=1;	Unsorted_K47
Seq48831;ee=0.0062;size=1;	PE4_N
Seq49109;ee=0.0086;size=1;	Unsorted_M61
Seq49385;ee=0.022;size=1;	Unsorted_J75
Seq49469;ee=0.16;size=1;	Unsorted_N61
Seq49521;ee=0.018;size=1;	PD1-Avidin15_B
Seq49591;ee=0.015;size=1;	Unsorted_Q4
Seq49702;ee=0.0097;size=1;	Unsorted_M30
Seq49832;ee=0.014;size=1;	Unsorted_Q38
Seq50114;ee=0.054;size=1;	Unsorted_C9
Seq50393;ee=0.0062;size=1;	Luciferase19_N
Seq50578;ee=0.015;size=1;	Unsorted_Q58
Seq51372;ee=0.016;size=1;	Unsorted_B29
Seq51623;ee=0.014;size=1;	Native_O1
Seq52084;ee=0.018;size=1;	Unsorted_F22
Seq52194;ee=0.06;size=1;	Unsorted_J39
Seq52273;ee=0.011;size=1;	PE23_N
Seq52497;ee=0.017;size=1;	Unsorted_F67
